Fund,Department,Type,Account,Current,Amount,Revenue,Annotation
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Repairs-Other Equip,1200,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Rsv-Wide Area Network,11425,425,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Service Contracts-Other,246504,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Small Equipment,31000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Uniforms,3025,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Vehicle Maint & Operation,19000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Direct Expenses,Wan Data Line,43809,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Dental Insurance,7720.24,-487.92,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Dental Insurance Increment,,682.92,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,FICA Temp,2010.78,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Group Life Ad & Di,543.04,2.95,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Health Insurance,93168,-5856,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Health Insurance Increment,6894.43,14341.04,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Medicare,8748.6,47.06,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Medicare Temp,470.26,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Retirement,43743.01,1735.54,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Retirement Temp,2311.17,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Social Security,37407.83,201.21,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Employee Benefits,Supplemental Retirement,14171.84,-1101.94,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Miscellaneous,Landfill Charges,10000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Miscellaneous,Licenses/Dues & Publications,4000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Miscellaneous,Postage,6000,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Miscellaneous,Training & Travel & Reg,12546,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Salaries and Wages,Expense Allowance,1200,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Salaries and Wages,Holiday Pay,512,0,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Salaries and Wages,Longevity,4429.6,-641.02,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Salaries and Wages,Salaries-Ft,598922.33,3886.16,FALSE,0
Public Utilities Fund,Public Utilities Facilities Support,Salaries and Wages,Salaries-Ot For Ft Staff,30720,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Capital Equipment,Capital Equipment-Other,10000,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Cellular/Wireless Voice Lines,7500,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Computer Lease,36667,-389,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Computer Operations & Access,2800,2000,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Equipment Usage Charge,286121,18310,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Motor Fuels & Lubricants,279412,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Office Supplies,7248,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Operational & Maint Supplies,188170,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Print Copy-Rmb,10000,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Professional Svcs-Other,5000,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Rental-Equipment,3208,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Service Contracts-Other,50720,-2000,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Small Equipment,21000,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Telephone/Comm (Hard Lines),2500,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Uniforms,26125,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Vehicle Maint & Operation,216600,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Direct Expenses,Wireless Data Comm,10633,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Dental Insurance,45028.44,-751.4,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Dental Insurance Increment,,3808.88,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,FICA Temp,22083.72,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Group Life Ad & Di,2774.37,-89.34,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Health Insurance,597778.08,-38174.88,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Health Insurance Increment,44235.58,92059.24,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Medicare,44698.7,-1438.69,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Medicare Temp,5164.75,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Retirement,223493.56,761.36,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Retirement Temp,15507.58,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Social Security,191125.59,-6151.48,FALSE,0
Public Utilities Fund,Public Utilities Meters,Employee Benefits,Supplemental Retirement,46154.64,-241.08,FALSE,0
Public Utilities Fund,Public Utilities Meters,Miscellaneous,Landfill Charges,3500,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Miscellaneous,Licenses/Dues & Publications,6867,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Miscellaneous,Professional Certification,5000,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Miscellaneous,Training & Travel & Reg,27960,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Salaries and Wages,Expense Allowance,12332,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Salaries and Wages,Holiday Pay,4660,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Salaries and Wages,Longevity,45482.56,-5162.66,FALSE,0
Public Utilities Fund,Public Utilities Meters,Salaries and Wages,Salaries-Ft,3037187.56,-94055.33,FALSE,0
Public Utilities Fund,Public Utilities Meters,Salaries and Wages,Salaries-Ot For Ft Staff,204902,0,FALSE,0
Public Utilities Fund,Public Utilities Meters,Salaries and Wages,Salaries-Pt Temp/Seasonal,134295,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Capital Equipment,Capital Equipment-Other,176000,65100,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Capital Equipment,Communications Equip,25000,25000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Capital Equipment,Construction Equip,,-5800,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Capital Equipment,Grounds Maint Equip,,-14200,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Capital Equipment,Safety/Hazmat Equip,48000,11100,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Chemicals,7000,-53000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Computer Lease,22497,-446,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Computer Operations & Access,1000,-1000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Contractual Svcs-Other,367047,-435000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Equipment Repair Parts,4000,-2500,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Equipment Usage Charge,1863522,438470,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Lease-Equipment,38088,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Motor Fuels & Lubricants,597273,149376,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Office Supplies,10000,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Operational & Maint Supplies,756710,48587,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Print Copy-Rmb,2000,-1000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Rental-Equipment,6500,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Repairs-Other Equip,55125,-4500,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Small Equipment,145920,5875,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Uniforms,42663,1488,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Direct Expenses,Vehicle Maint & Operation,784700,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Dental Insurance,73944.72,5480,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Dental Insurance Increment,,5696.27,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,FICA Temp,29516.21,-0.01,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Group Life Ad & Di,4281.05,339.65,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Health Insurance,918835.68,43830.72,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Health Insurance Increment,67993.83,133794.21,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Medicare,68971.78,5472.23,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Medicare Temp,6903,0.02,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Retirement,344858.6,38306.26,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Retirement Temp,34337.22,0.02,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Social Security,294913.53,23398.27,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Employee Benefits,Supplemental Retirement,95825.64,13643.37,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Interfund Transfers In/Out,To 100 Reimb Sewer St Cuts,575000,20000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Interfund Transfers In/Out,To 100 Reimb Water St Cuts,,-60000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Miscellaneous,Landfill Charges,85000,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Miscellaneous,Licenses/Dues & Publications,7000,-1000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Miscellaneous,Professional Certification,82850,47850,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Miscellaneous,Training & Travel & Reg,20000,-22000,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Expense Allowance,1800,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Holiday Pay,13251,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Longevity,34040.65,-3431.18,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Salaries-Ft,4722629.59,380822.3,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Salaries-Ot For Ft Staff,450765,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Salaries-Pt Temp/Seasonal,10252,0,FALSE,0
Public Utilities Fund,Public Utilities Sewer Maintenance,Salaries and Wages,Salary Reserve,37873,0,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Computer Lease,,-33703,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Computer Operations & Access,,-78375,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Contractual Svcs-Other,,-594800,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Credit Card Fees,,-971000,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Motor Pool Vehicle Use Costs,,-2500,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Office Supplies,,-6875,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Operational & Maint Supplies,,-3400,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Rsv-Wide Area Network,,-7052,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Telephone/Comm (Hard Lines),,-9685,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Uniforms,,-6875,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Direct Expenses,Wan Data Line,,-18876,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Dental Insurance,,-28576.84,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Dental Insurance Increment,,2334.75,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,FICA Temp,,-620,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Group Life Ad & Di,,-2155.87,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Health Insurance,,-382221.6,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Health Insurance Increment,,28201.62,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Medicare,,-34733.19,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Medicare Temp,,-145,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Retirement,,-167708.18,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Retirement Temp,,-740,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Social Security,,-148514.27,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Employee Benefits,Supplemental Retirement,,-51631.93,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Miscellaneous,Licenses/Dues & Publications,,-175,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Miscellaneous,Mileage Reimb,,-500,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Miscellaneous,Postage,,-785100,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Miscellaneous,Training & Travel & Reg,,-34000,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Salaries and Wages,Agency Personnel-Temp,,-152081,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Salaries and Wages,Longevity,,-23339.81,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Salaries and Wages,Salaries-Ft,,-2372051.2,FALSE,0
Public Utilities Fund,Public Utilities Utility Billing,Salaries and Wages,Salaries-Ot For Ft Staff,,-10000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Capital Equipment,Capital Equipment-Other,15000,500,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Capital Equipment,Construction Equip,137590,28000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Capital Equipment,Motor Vehicle Access/Upfit,,-10000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Capital Equipment,Safety/Hazmat Equip,21000,0,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Chemicals,22330,0,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Computer Lease,24433,-2349,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Computer Operations & Access,7050,5000,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Contractual Svcs-Other,142238,-207762,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Equipment Repair Parts,3000,0,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Equipment Usage Charge,690852,-61356,FALSE,0
Public Utilities Fund,Public Utilities Water Distribution,Direct Expenses,Lease-Equipment,33156,0,FALSE,0
